"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT00479778","Study Of Pharmacokinetic (PK) Profile of Bazedoxifene (BZA) in 2 BZA/Conjugated Estrogen Forms",,"Completed","No Results Available","Postmenopause","Drug: Bazedoxifene/conjugated estrogens","Pharmacokinetic analyses.","Wyeth is now a wholly owned subsidiary of Pfizer","Female","40 Years to 65 Years   (Adult, Older Adult)","Phase 1","72","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","3115A1-1121","April 2007",,"July 2007","May 28, 2007",,"December 28, 2007","Gainesville, Florida, United States",,"https://ClinicalTrials.gov/show/NCT00479778"
2,"NCT00195455","Study Evaluating Estradiol/Trimegestone in Vasomotor Symptoms (VMS) in Post-Menopausal Women.",,"Completed","No Results Available","Postmenopause","Drug: Trimegestone|Drug: 17b Estradiol","To assess vasomotor symptoms control with a continuous regimen of 17 b estradiol 1mg and Trimegestone (TMG) 0.125 mg.|Study bleeding patterns throughout the treatment period (6 months)|Evaluate changes in the Menopause-Specific Quality of Life Questionnaire","Wyeth is now a wholly owned subsidiary of Pfizer","Female","45 Years to 55 Years   (Adult)","Phase 4","133","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","0753T-101538","February 2005",,"March 2007","September 19, 2005",,"December 20, 2007","Guadalajara, Jal., Mexico|Monterrey, N.l., Mexico|Monterrey, N.l., Mexico|Mexico City, Mexico|Mexico City, Mexico|Mexico City, Mexico",,"https://ClinicalTrials.gov/show/NCT00195455"
3,"NCT00185328","Efficacy and Tolerability of Angeliq in Thai Women",,"Completed","No Results Available","Postmenopause","Drug: Estradiol/DRSP (Angeliq, BAY86-4891)","The relative change in the frequency of hot flushes|The change in intensity of hot flushes|The relative change in frequency of hot flushes|The proportions of subjects with urogenital symptoms|Bleeding pattern|Adverse events collection","Bayer","Female","45 Years and older   (Adult, Older Adult)","Phase 4","55","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","91436|309367","September 2005",,"December 2006","September 16, 2005",,"December 12, 2008",,,"https://ClinicalTrials.gov/show/NCT00185328"
4,"NCT05346445","Comparison of Fluoxetine Versus Citalopram Therapy to Control Postmenopausal Vasomotor Syndrome",,"Completed","No Results Available","Postmenopause|Hot Flashes","Drug: Fluoxetine 20 MG|Drug: Citalopram 20mg","Change from baseline Menopause Rating Scale (MRS) total score at 3 months|Change from baseline Menopause Rating Scale (MRS) total score at 6 months|Change from baseline Menopause Rating Scale (MRS) somatic domain score at 3 months|Change from baseline Menopause Rating Scale (MRS) somatic domain score at 6 months|Change from baseline Menopause Rating Scale (MRS) urogenital domain score at 3 months|Change from baseline Menopause Rating Scale (MRS) urogenital domain score at 6 months|Change from baseline Menopause Rating Scale (MRS) psychological domain score at 3 months|Change from baseline Menopause Rating Scale (MRS) psychological domain score at 6 months|Change from baseline score in Item 1 of the Menopause Rating Scale (MRS) at 3 months|Change from baseline score in Item 1 of the Menopause Rating Scale (MRS) at 6 months|Change from the severity of individual Menopause Rating Scale (MRS) items at 6 months","Hospital Regional 1o de Octubre|Universidad Nacional Autonoma de Mexico|National Polytechnic Institute, Mexico","Female","Child, Adult, Older Adult","Not Applicable","91","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","122.2021","January 20, 2021","November 20, 2021","December 20, 2021","April 26, 2022",,"July 26, 2022","Peri-postmenopause and bone metabolism clinic. Regional Hospital October 1st ISSSTE, Mexico City, Mexico",,"https://ClinicalTrials.gov/show/NCT05346445"
5,"NCT01046149","Effects of Breathing Training on Psychosocial Functioning and Heart Rate Variability in Postmenopausal Women With Depressive Symptoms-2",,"Withdrawn","No Results Available","Postmenopause","Behavioral: Breathing training|Behavioral: Stress management","Depressive symptoms|Heart rate variability (Resting, reactivity to stress, and recovery from stress)","National Science Council, Taiwan","Female","45 Years to 64 Years   (Adult)","Not Applicable","0","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","NSC98-2629-B-038-002-MY3-TMUH","February 2010",,,"January 11, 2010",,"September 26, 2014","Taipei Medical University Hospital, Taipei, Xinyi Dist., Taiwan",,"https://ClinicalTrials.gov/show/NCT01046149"
6,"NCT01045811","Effects of Breathing Training on Psychosocial Functioning and Heart Rate Variability in Postmenopausal Women With Depressive Symptoms-3",,"Withdrawn","No Results Available","Postmenopause","Behavioral: Breathing training|Behavioral: Stress management","Depressive symptoms|Heart rate variability (Resting, reactivity to stress, and recovery from stress)","National Science Council, Taiwan","Female","45 Years to 64 Years   (Adult)","Not Applicable","0","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","NSC98-2629-B-038-002-MY3-WFH","May 2010",,,"January 11, 2010",,"September 26, 2014","Taipei Medical University Wangfang Hospital, Taipei, Wenshan Dist., Taiwan",,"https://ClinicalTrials.gov/show/NCT01045811"
7,"NCT01044563","Effects of Breathing Training on Psychosocial Functioning and Heart Rate Variability in Postmenopausal Women With Depressive Symptoms",,"Completed","No Results Available","Postmenopause","Behavioral: Breathing training|Behavioral: Stress management","Depressive symptoms|Heart rate variability (Resting, reactivity to stress, and recovery from stress)","National Science Council, Taiwan","Female","45 Years to 64 Years   (Adult)","Not Applicable","81","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","NSC98-2629-B-038-002-MY3-TMU","May 2010","August 2010","May 2012","January 8, 2010",,"September 26, 2014","Taipei Medical University, Taipei, Xinyi Dist., Taiwan",,"https://ClinicalTrials.gov/show/NCT01044563"
8,"NCT05401630","Mental Stress Reactivity in Women With CMD",,"Recruiting","No Results Available","Post-menopause","Other: Study Procedures","Planar late Heart to Mediastinal Ratio (MIBG imaging)|Changes in HRV with mental stress|Changes in pre-ejection period (PEP) with mental stress|Changes in flow mediated dilation (FMD test) to acute mental stress in CMD women.|Changes in Peripheral arterial tonometry (PAT) test to acute mental stress in CMD women.|Examine whether chronic stress burden and autonomic dysfunction during daily life is elevated in CMD women.","Emory University|National Heart, Lung, and Blood Institute (NHLBI)","Female","45 Years and older   (Adult, Older Adult)","Not Applicable","150","Other|NIH","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Screening","STUDY00003154|1R01HL157311-01A1","July 19, 2022","September 30, 2026","December 31, 2026","June 2, 2022",,"December 8, 2022","Emory Hospital Midtown, Atlanta, Georgia, United States|Emory Saint Joseph's Hospital, Atlanta, Georgia, United States|Emory Clinic, Atlanta, Georgia, United States|Emory Hospital, Atlanta, Georgia, United States",,"https://ClinicalTrials.gov/show/NCT05401630"
9,"NCT05052749","High Intensity Resistance Training In Postmenopausal Women (HIRT)","HIRT","Completed","No Results Available","Post Menopause","Other: High Intensity Resistance Training (HIRT)|Other: Low-moderate Resistance Exercise Training","10RM leg press|10RM dead lift (kg)|Sit and reach test (cm)|Sit and stand test (reps)|Plank test (sec)|6 - minutes' walk test (sec)|Gait speed|Menopause specific Quality of life (MENQOL)","Riphah International University","Female","45 Years to 70 Years   (Adult, Older Adult)","Not Applicable","40","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","REC/00915 Qurat-ul-Ain","March 1, 2021","December 15, 2021","December 31, 2021","September 22, 2021",,"February 2, 2022","Riphah Rehabilitation Center, RCRAHS Westridge campus, Rawalpindi, Punjab, Pakistan",,"https://ClinicalTrials.gov/show/NCT05052749"
10,"NCT00152295","A Long-Term Study to Evaluate the Safety of Asoprisnil and Estrogen Administration to Postmenopausal Women",,"Completed","No Results Available","Postmenopause","Drug: Asoprisnil/Premarin","The percent of subjects in each endometrial biopsy diagnostic category summarized using SPRM Classification System.|The percentage of subjects in each endometrial biopsy diagnostic category summarized using SPRM Classification System|Change from baseline in endometrial thickness (mm) as measured by transvaginal ultrasound.|Frequency and amount of vaginal bleeding assessed via daily diary.|Frequency and severity of hot flushes assessed via daily diary.|Mean change from baseline in endocrine determinations.|Global efficacy question","Abbott","Female","48 Years to 65 Years   (Adult, Older Adult)","Phase 2","18","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","M01-280","April 2001","December 2001","December 2001","September 9, 2005",,"May 29, 2008",,,"https://ClinicalTrials.gov/show/NCT00152295"
